,iox::measurement,time,altitude,avg_speed,car,class,distance,event,event_hours,latitude,longitude,messengerId,shortname,speed,team,teamnum
118,telemetry,2025-08-23 01:24:08,17.0,-0.48178808571117254,SC4,Challenger,10.164657968315272,BWSC2025,-21.09777777777778,-12.44649,130.9071,0-3110879,ANU,0.05119273192091606,41,41
119,telemetry,2025-08-23 01:25:17,47.0,-0.48308356788883255,Dokkaebi 2,Challenger,10.182730661696745,BWSC2025,-21.078611111111112,-12.44894,130.90686,0-3178440,SNU SOLO,0.1175184503854763,57,57
120,telemetry,2025-08-23 01:25:31,23.0,-0.4833510137410276,Sun Sprite,Challenger,10.186488350421673,BWSC2025,-21.07472222222222,-12.44885,130.90691,0-3111503,SASVA,1.6947428335859855,42,42
121,telemetry,2025-08-23 01:26:08,35.0,-0.48955795912551325,H6,Challenger,10.312266432334978,BWSC2025,-21.064444444444444,-12.44872,130.90729,0-3110655,Halmstad,-0.07625387766150188,23,23
122,telemetry,2025-08-23 01:27:59,26.0,-0.4843127588375402,Sun Sprite,Challenger,10.186846225538162,BWSC2025,-21.03361111111111,-12.44887,130.90691,0-3111503,SASVA,0.008705070401078202,42,42
123,telemetry,2025-08-23 01:30:28,26.0,-0.4849863524851965,Sun Sprite,Challenger,10.18094128611424,BWSC2025,-20.99222222222222,-12.44884,130.90686,0-3111503,SASVA,-0.1426696773564807,42,42
124,telemetry,2025-08-23 01:38:59,20.0,-0.47921772952707953,RED Discover,Challenger,9.991822776675587,BWSC2025,-20.850277777777777,-12.44783,130.90523,0-3192758,Twente,0.0,21,21
125,telemetry,2025-08-23 01:40:30,71.0,-0.4952173122324424,Scewera,Challenger,10.312900527240613,BWSC2025,-20.825,-12.44882,130.90727,0-3192755,Osaka,0.0,78,78
126,telemetry,2025-08-23 01:41:28,-103.0,-0.47121917709687516,RED Discover,Challenger,9.80554749852253,BWSC2025,-20.808888888888887,-12.44783,130.90349,0-3192758,Twente,-4.500610747322166,21,21
127,telemetry,2025-08-23 01:43:01,35.0,-0.49128800892303826,Scewera,Challenger,10.210465983225777,BWSC2025,-20.783055555555556,-12.44881,130.90714,0-3192755,Osaka,-2.442148069227867,78,78
128,telemetry,2025-08-23 01:43:13,5.0,-0.5020412056388416,Aagneya,Challenger,10.432276797284672,BWSC2025,-20.779722222222222,-12.45013,130.90714,0-3192976,AgniRath,0.47639504430355567,28,28
129,telemetry,2025-08-23 01:43:57,-103.0,-0.5252064087500532,RED Discover,Challenger,10.907224093716728,BWSC2025,-20.7675,-12.44662,130.91115,0-3192758,Twente,26.617689548316175,21,21
130,telemetry,2025-08-23 01:45:45,17.0,-0.5028832133645899,Aagneya,Challenger,10.428540637148183,BWSC2025,-20.7375,-12.44983,130.90721,0-3192976,AgniRath,-0.0884880032326323,28,28
131,telemetry,2025-08-23 01:46:19,14.0,-0.5277806451715222,Gaia,Cruiser,10.939866534262267,BWSC2025,-20.728055555555557,-12.4464,130.9117,0-3110643,Minnesota,1.1370238215408388,35,35
